identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/InvoicingEntity,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/availabilityZone,product/capacitystatus,product/classicnetworkingsupport,product/clockSpeed,product/currentGeneration,product/durability,product/ecu,product/enhancedNetworkingSupported,product/feeCode,product/feeDescription,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/gpuMemory,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/marketoption,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/queueType,product/region,product/regionCode,product/servicecode,product/servicename,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeApiName,product/volumeType,product/vpcnetworkingsupport,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/user:officex_vendor_purchase_id
,2025-07-22T00:00:00Z/2025-07-23T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-22T23:00:00Z,2025-07-23T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-23T00:00:00Z/2025-07-24T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-23T23:00:00Z,2025-07-24T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-24T00:00:00Z/2025-07-25T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-24T23:00:00Z,2025-07-25T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-25T00:00:00Z/2025-07-26T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-25T23:00:00Z,2025-07-26T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-26T00:00:00Z/2025-07-27T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-26T23:00:00Z,2025-07-27T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-27T00:00:00Z/2025-07-28T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-27T23:00:00Z,2025-07-28T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-28T00:00:00Z/2025-07-29T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-28T23:00:00Z,2025-07-29T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-29T00:00:00Z/2025-07-30T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-29T23:00:00Z,2025-07-30T00:00:00Z,AmazonS3,Global-Bucket-Hrs-FreeTier,GeneralPurposeBuckets,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.001344086,,,USD,0,0,0,0,$0.00 per bucket / month for the first 2000 general purpose buckets in your account,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,S3-General-Purpose-Buckets-Free-Tier,No charge for free tier of general purpose buckets per AWS account,,,,,,,,,,,,,,Any,Other,,,,,,,,,,,GeneralPurposeBuckets,,,,,,,global,,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Global-Bucket-Hrs-FreeTier,,,,,,,200590993338,USD,0,0,OnDemand,Bucket-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-23T00:00:00Z/2025-07-24T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-23T00:00:00Z,2025-07-23T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-24T00:00:00Z/2025-07-25T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-24T00:00:00Z,2025-07-24T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-25T00:00:00Z/2025-07-26T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-25T00:00:00Z,2025-07-25T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-26T00:00:00Z/2025-07-27T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-26T00:00:00Z,2025-07-26T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-27T00:00:00Z/2025-07-28T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-27T00:00:00Z,2025-07-27T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-28T00:00:00Z/2025-07-29T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-28T00:00:00Z,2025-07-28T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-29T00:00:00Z/2025-07-30T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-29T00:00:00Z,2025-07-29T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-30T00:00:00Z/2025-07-31T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-30T00:00:00Z,2025-07-30T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,0.000467255,,,USD,0.023,0.0000107469,0.023,0.0000107469,$0.023 per GB - first 50 TB / month of storage used,,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,99.99%,,,,,,100.00%,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,,Standard,,,200590990693,USD,0.0000107469,0.023,OnDemand,GB-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f
,2025-07-22T00:00:00Z/2025-07-23T00:00:00Z,,,AWS,Anniversary,,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,518874187290,Usage,2025-07-22T07:00:00Z,2025-07-22T08:00:00Z,AmazonS3,Requests-Tier2,HeadBucket,,officex-CustomerPurchaseID_0f9e4413-b0cc-46e7-92ad-4818b3f180e9,1,,,USD,0.0000004,0.0000004,0.0000004,0.0000004,"$0.004 per 10,000 GET and all other requests",,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,API Request,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,,,,,,,,,,Requests-Tier2,,,,,,,200590986205,USD,0.0000004,0.0000004,OnDemand,Requests,,,,,,,,,,,,,,,,,,,,,,,,,,CustomerPurchaseID_f4542cf0-dd64-4bcf-ad08-207caddff33f